,time,portfolio,stock,order
3,1572,wizey,15,35.0
1,1572,uitcq,17,12.0
0,1573,djruh,0,80.0
3,1573,djruh,3,-26.0
1,1573,hjmxr,5,-778.0
2,1573,hjmxr,6,847.0
0,1573,hipzw,8,37.0
2,1573,hipzw,10,23.0
3,1573,hipzw,11,-84.0
1,1573,wizey,13,-72.0
3,1573,wizey,15,97.0
1,1573,uitcq,17,40.0
0,1574,djruh,0,33.0
3,1574,djruh,3,-18.0
1,1574,hjmxr,5,-540.0
2,1574,hjmxr,6,632.0
0,1574,hipzw,8,-42.0
2,1574,hipzw,10,4.0
3,1574,hipzw,11,52.0
1,1574,wizey,13,-24.0
3,1574,wizey,15,64.0
1,1574,uitcq,17,-37.0
0,1575,djruh,0,-51.0
3,1575,djruh,3,25.0
1,1575,hjmxr,5,-29.0
2,1575,hjmxr,6,33.0
0,1575,hipzw,8,-44.0
2,1575,hipzw,10,88.0
3,1575,hipzw,11,-2.0
1,1575,wizey,13,-49.0
3,1575,wizey,15,68.0
1,1575,uitcq,17,-13.0
0,1576,djruh,0,-1.0
1,1576,hjmxr,5,381.0
2,1576,hjmxr,6,-380.0
0,1576,hipzw,8,-42.0
2,1576,hipzw,10,-20.0
3,1576,hipzw,11,47.0
1,1576,wizey,13,82.0
3,1576,wizey,15,-105.0
1,1576,uitcq,17,-8.0
0,1577,djruh,0,49.0
3,1577,djruh,3,-13.0
1,1577,hjmxr,5,-522.0
2,1577,hjmxr,6,582.0
0,1577,hipzw,8,-13.0
2,1577,hipzw,10,36.0
3,1577,hipzw,11,-8.0
1,1577,wizey,13,11.0
3,1577,wizey,15,1.0
1,1577,uitcq,17,-41.0
0,1578,djruh,0,-38.0
3,1578,djruh,3,13.0
1,1578,hjmxr,5,611.0
2,1578,hjmxr,6,-718.0
0,1578,hipzw,8,-52.0
2,1578,hipzw,10,-8.0
3,1578,hipzw,11,103.0
1,1578,wizey,13,4.0
3,1578,wizey,15,-2.0
1,1578,uitcq,17,-24.0
0,1579,djruh,0,-23.0
3,1579,djruh,3,3.0
1,1579,hjmxr,5,-652.0
2,1579,hjmxr,6,701.0
0,1579,hipzw,8,-2.0
2,1579,hipzw,10,12.0
3,1579,hipzw,11,-11.0
1,1579,wizey,13,20.0
1,1579,uitcq,17,3.0
0,1580,djruh,0,-18.0
3,1580,djruh,3,7.0
1,1580,hjmxr,5,-388.0
2,1580,hjmxr,6,459.0
0,1580,hipzw,8,-5.0
2,1580,hipzw,10,5.0
3,1580,hipzw,11,-28.0
1,1580,wizey,13,-12.0
3,1580,wizey,15,-4.0
1,1580,uitcq,17,8.0
1,1581,hjmxr,5,11.0
2,1581,hjmxr,6,5.0
0,1581,hipzw,8,83.0
2,1581,hipzw,10,-11.0
3,1581,hipzw,11,-95.0
